2025 Federal Election House of Representatives First Preferences By Candidate By Vote Type [Please Note: These results are not final. Event:31496 Phase:PostElection Generated:2025-05-27T12:41:18 Cycle:841232e3-b741-4f51-86df-f51ca364568b Created:2025-05-27T12:40:02 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,318,Bean,41076,LAMERTON,David,1,N,N,LP,Liberal,20237,372,60,906,2090,23665,-6.68
ACT,318,Bean,41682,PRICE,Jessie,2,N,N,IND,Independent,24395,362,79,657,1627,27120,26.41
ACT,318,Bean,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,8265,322,30,517,623,9757,-5.3
ACT,318,Bean,40676,SMITH,David,4,N,Y,ALP,Australian Labor Party,36877,674,118,1560,2929,42158,-0.68
ACT,318,Bean,999,Informal,Informal,999,N,N,,Informal,2389,73,10,65,133,2670,-0.35
ACT,101,Canberra,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,15716,322,80,1251,1135,18504,-4.88
ACT,101,Canberra,41742,LIDDICOAT,Mary-Jane,2,N,N,IMO,HEART Party,999,31,6,68,118,1222,1.31
ACT,101,Canberra,41696,MILES,Claire,3,N,N,IND,Independent,8623,184,32,482,866,10187,10.91
ACT,101,Canberra,41077,ROCHE,Will,4,N,N,LP,Liberal,13894,241,51,1034,1881,17101,-3.46
ACT,101,Canberra,40677,PAYNE,Alicia,5,N,Y,ALP,Australian Labor Party,37995,629,172,2885,3452,45133,3.44
ACT,101,Canberra,41706,McTAGGART,Teresa,6,N,N,AJP,AJP,1028,41,1,62,126,1258,1.35
ACT,101,Canberra,999,Informal,Informal,999,N,N,,Informal,1723,55,8,93,142,2021,0.35
ACT,102,Fenner,41079,OLATUNBOSUN,Bola,1,N,N,LP,Liberal,17742,390,66,734,1791,20723,-5.9
ACT,102,Fenner,41713,KIKKERT,Elizabeth,2,N,N,FFP,Family First,6427,170,31,254,544,7426,7.86
ACT,102,Fenner,40678,LEIGH,Andrew,3,N,Y,ALP,Australian Labor Party,44844,897,184,1494,3400,50819,5.49
ACT,102,Fenner,41398,HUNTERFORD,Dani,4,N,N,GRN,Australian Greens,13621,406,58,512,895,15492,-0.35
ACT,102,Fenner,999,Informal,Informal,999,N,N,,Informal,2273,77,6,63,121,2540,-0.08
NSW,103,Banks,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,2765,220,4,109,332,3430,3.47
NSW,103,Banks,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,2868,185,3,105,505,3666,0.44
NSW,103,Banks,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,564,30,1,19,74,688,0.7
NSW,103,Banks,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,2343,91,0,63,181,2678,2.71
NSW,103,Banks,41486,HANNA,Natalie,5,N,N,GRN,The Greens,9809,594,16,317,1020,11756,3.27
NSW,103,Banks,41350,SOON,Zhi,6,Y,N,ALP,Labor,29923,1066,43,923,4084,36039,0.59
NSW,103,Banks,41411,COLEMAN,David,7,N,Y,LP,Liberal,31881,842,40,817,5103,38683,-5.5
NSW,103,Banks,40625,COYNE,John,8,N,N,IND,Independent,1523,119,1,57,295,1995,2.02
